Dia;Número de departamento;445225;450133;450237;450295;450329;450403;450592;450604;450605;450606;450607;450616;450673;450684;700564;700565;ET13250;ET14486;ET15008;ET17434;ET17442;ET17450;ET17566;ET17760;ET18228;ET18406;ET47155;ET49182;ET49190;ET8702357;ET9156
8;1001;;;;;;;;;;;;;;;;;;;;;;ET17450 - 1;;;;;;ET49182 - 1;;;
8;1004;;;;;;;;;;;;;;;;;;;ET15008 - 1;;;;;;;;;;;;
8;1008;445225 - 2;;;;;;;450604 - 1;;;450607 - 1;;;;;;;;;;;;;;;;;;;;
8;1012;;;;;;;;;;450606 - 1;;;;;;;;;;;;;;;;;;;;;
8;1015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ET49190 - 2;;
8;1016;;;;450295 - 1;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1017;;;;;;;;;;450606 - 1;;;;;;;;;;;;;;;;;;;;;
8;1019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1013;;;450237 - 1;;;;450592 - 1;;;;;;;;;;;;;;;;;;;;;;;;
9;1017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ET8702357 - 1;
9;1021;;450133 - 2;450237 - 2;;;;;;;;;;450673 - 1;450684 - 1;700564 - 2;700565 - 2;;;;;;;;;;;;;;;
9;1025;;;;;;;;;;;;;;;;;;;;;;;;;;;ET47155 - 1;;;;
9;1026;;;;;450329 - 1;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ET9156 - 1
9;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;2007;;;;;;;;;450605 - 1;;;;;;;;;;;;;;;;;;;;;;
9;2009;;;;;;450403 - 1;;;;;;;;;;;;ET14486 - 1;;ET17434 - 1;ET17442 - 1;ET17450 - 1;ET17566 - 1;ET17760 - 1;ET18228 - 1;;;;;;
10;1002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1013;;;;;450329 - 1;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1014;;;;;;;;;;;;;;;;;;;;;;;;;;ET18406 - 1;;;;;
10;1023;;;;;;;;;;;;;;;;;ET13250 - 1;;;;;;;;;;;;;;
10;1026;;;;;;;;;;450606 - 1;;;;;;;;;;;;;;;;;;;;;
10;1027;;;;;;;;;;450606 - 1;;;;;;;;;;;;;;;;;;;;;
10;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;2012;;;;;;;;;;450606 - 1;;;;;;;;;;;;;;;;;;;;;
10;9001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;9002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1012;;;;;;;;;;;450607 - 1;;;;;;;;;;;;ET17566 - 1;;;;;ET49182 - 1;;;
11;1013;;;;;;;;;;;;;;;;;;;ET15008 - 1;;;;;;;;;;;;
11;1015;;;;;;;;;;;;;;;;;ET13250 - 1;;;;;;;;;;;;;;
11;1016;;;;450295 - 1;;;;;;;;;;;;;;;;;;;;;;;;;;ET8702357 - 1;
11;1019;;;;;;;;;;450606 - 1;;;;;;;;;;;ET17442 - 1;ET17450 - 3;ET17566 - 1;;;;;;;;
11;1023;;;;;;;;;;450606 - 1;;;;;;;;;;;;;;;;ET18406 - 1;;;;;
11;1024;;;;;;;;;;450606 - 1;;;;;;;;;;;;;;;;;;;;;
11;1025;;;;;;;;;;;450607 - 2;;;;;;;;;;;;;;;;;;;;
11;1028;;;;;;;;;;;;;;;;;ET13250 - 1;;;;;;;;;;;;;;
11;1029;;;;;;;;;;;;450616 - 2;;;;;;;;;;;;;;;;;;;
11;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;2011;;;;;;;;;;;450607 - 1;;;;;;;;;;;;;;;;;;;;
11;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ET49190 - 1;;
12;1012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1013;;;;;;;450592 - 1;;;;;;;;;;;;;;;;;;;;;;;;
12;1017;;;;;;;;450604 - 1;;;;;;;;;;;;;;;;;;;;;;;
12;1024;;;;;;;;;;450606 - 1;;;;;;;;;;;;;;;;;;;;;
12;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;2005;;;;;;;;;;450606 - 1;;;;;;;;;;;;;;;;;;;;;
12;2006;;;;;;;;;;;450607 - 1;;;;;;;;;;;;;;;;;;;;
12;2008;;;;;;;;;;;;;;;;;;;;;;;;;;ET18406 - 1;;;;;
12;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
